"","id","cluster","X0","X1","X2","X3","X4"
"1",1,"0",0,0,0,0,0
"2",2,"0",0,0,0,0,0
"3",3,"0",0,0,0,0,1
"4",4,"0",0,0,0,0,1
"5",5,"0",0,0,0,0,1
"6",6,"0",0,0,0,0,1
"7",7,"0",0,0,0,0,1
"8",8,"0",0,0,0,0,1
"9",9,"0",0,0,0,0,1
"10",10,"0",0,0,0,0,1
"11",11,"0",0,0,0,0,1
"12",12,"0",0,0,0,0,1
"13",13,"0",0,0,0,0,1
"14",14,"0",1,0,0,0,1
"15",15,"0",1,0,0,0,1
"16",16,"0",1,0,0,0,1
"17",17,"0",1,0,0,0,1
"18",18,"0",1,0,0,0,1
"19",19,"0",1,0,0,0,1
"20",20,"0",1,0,0,0,1
"21",21,"0",1,0,0,0,1
"22",22,"0",1,0,0,0,1
"23",23,"0",1,0,0,0,1
"24",24,"0",1,0,0,0,1
"25",25,"0",1,0,0,0,1
"26",26,"0",1,0,0,0,1
"27",27,"0",1,0,0,0,1
"28",28,"0",1,0,0,0,1
"29",29,"0",1,0,0,0,1
"30",30,"0",1,0,0,0,1
"31",31,"0",1,0,0,0,1
"32",32,"0",1,0,0,0,1
"33",33,"0",1,0,0,0,1
"34",34,"0",1,0,0,0,1
"35",35,"0",1,0,0,0,1
"36",36,"0",1,0,0,0,1
"37",37,"0",1,0,0,0,1
"38",38,"0",1,0,1,0,1
"39",39,"0",1,0,2,0,2
"40",40,"0",1,0,2,0,2
"41",41,"0",1,0,2,1,2
"42",42,"0",1,0,2,1,2
"43",43,"0",1,0,2,1,2
"44",44,"0",1,0,2,1,2
"45",45,"0",1,0,2,1,2
"46",46,"0",1,0,2,1,2
"47",47,"0",1,0,2,1,4
"48",48,"0",1,1,2,1,4
"49",49,"0",1,2,2,1,4
"50",50,"0",1,2,2,2,4
"51",51,"1",0,0,0,0,0
"52",52,"1",0,0,0,0,0
"53",53,"1",0,0,0,0,0
"54",54,"1",1,0,0,0,0
"55",55,"1",1,0,0,1,0
"56",56,"1",1,0,0,1,0
"57",57,"1",1,0,0,1,0
"58",58,"1",1,0,0,1,0
"59",59,"1",1,0,0,1,0
"60",60,"1",1,0,0,1,0
"61",61,"1",1,0,0,1,0
"62",62,"1",1,0,0,1,0
"63",63,"1",1,0,0,1,0
"64",64,"1",1,0,0,1,0
"65",65,"1",1,0,0,1,0
"66",66,"1",1,0,0,1,0
"67",67,"1",1,0,0,1,0
"68",68,"1",1,0,0,1,0
"69",69,"1",1,0,0,1,1
"70",70,"1",1,0,0,1,1
"71",71,"1",1,0,0,2,1
"72",72,"1",1,0,0,2,1
"73",73,"1",1,0,0,2,1
"74",74,"1",1,0,1,2,1
"75",75,"1",1,0,1,2,1
"76",76,"1",1,0,1,2,1
"77",77,"1",1,0,1,2,1
"78",78,"1",1,0,1,2,2
"79",79,"1",1,0,2,3,2
"80",80,"1",1,1,2,3,2
"81",81,"2",0,0,0,1,0
"82",82,"2",0,0,1,1,0
"83",83,"2",0,0,1,1,0
"84",84,"2",0,0,1,2,0
"85",85,"2",0,0,1,2,0
"86",86,"2",0,0,1,2,0
"87",87,"2",0,0,2,2,0
"88",88,"2",0,0,2,2,0
"89",89,"2",0,0,2,2,0
"90",90,"2",0,0,2,2,0
"91",91,"2",0,0,2,2,0
"92",92,"2",0,0,2,2,0
"93",93,"2",0,0,2,2,0
"94",94,"2",1,1,2,2,1
"95",95,"2",1,1,2,2,1
"96",96,"2",1,1,2,2,2
"97",97,"2",1,1,2,3,2
"98",98,"2",1,2,2,3,3
"99",99,"2",1,2,2,3,3
"100",100,"2",1,2,2,3,4
